,0
0,Loading...
1,"BOULEVARD
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
19:3021:45
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:25
Estreno
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
19:3022:00
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:30
The Offering
M-1693
2D ESPAÑOL
22:00
Devotion. Una historia de héroes
M-12138
2D ESPAÑOL
22:15
Lobo feroz
M-18106
2D ESPAÑOL
22:20
TÁR
M-7158
2D CI ESPAÑOL
21:50
Babylon
M-16188
2D ESPAÑOL
20:15
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
20:05
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
20:0021:15
VOLVER ARRIBA"
2,"IMAGINALIA
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
20:1022:15
Devotion. Una historia de héroes
M-12138
2D ESPAÑOL
22:15
Lobo feroz
M-18106
2D ESPAÑOL
22:25
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:3022:00
Babylon
M-16188
2D ESPAÑOL
21:20
M3GAN
M-12102
2D ESPAÑOL
20:10
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
20:0021:15
VOLVER ARRIBA
VIALIA ALBACETE
Estreno
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
19:2021:40
TÁR
M-7158
2D CI ESPAÑOL
20:30
Babylon
M-16188
2D ESPAÑOL
20:20
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
20:40
As bestas
M-12137
2D CI ESPAÑOL
20:00
VOLVER ARRIBA"
3,"PUERTA DE ALICANTE
Estreno
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
19:4022:00
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
19:3021:45
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:30
TÁR
M-7158
2D CI ESPAÑOL
21:00
Babylon
M-16188
2D ESPAÑOL
20:45
M3GAN
M-12102
2D ESPAÑOL
22:00
Operación Fortune: El gran engaño
M-12114
2D ESPAÑOL
22:00
Avatar: El sentido del agua
M-12194
HFR ESPAÑOL
20:00
3D HFR ESPAÑOL
20:30
As bestas
M-12137
2D CI ESPAÑOL
19:20
Todo a la vez en todas partes
M-12150
2D CI ESPAÑOL
20:15
VOLVER ARRIBA
VINALOPO
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
20:00
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
19:4522:00
TÁR
M-7158
2D CI ESPAÑOL
19:35
Devotion. Una historia de héroes
M-12138
2D ESPAÑOL
21:50
Babylon
M-16188
2D ESPAÑOL
21:15
Operación Fortune: El gran engaño
M-12114
2D ESPAÑOL
22:25
Reza por el diablo
M-1693
2D ESPAÑOL
22:35
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:3020:45
As bestas
M-12137
2D CI ESPAÑOL
20:00
VOLVER ARRIBA"
4,"ROQUETAS
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
20:3022:35
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:15
Estreno
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
19:3022:00
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:3022:00
The Offering
M-1693
2D ESPAÑOL
22:30
Babylon
M-16188
2D ESPAÑOL
20:30
Operación Fortune: El gran engaño
M-12114
2D ESPAÑOL
22:30
M3GAN
M-12102
2D ESPAÑOL
22:00
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:3020:45
As bestas
M-12137
2D CI ESPAÑOL
19:50
Todo a la vez en todas partes
M-12150
2D CI ESPAÑOL
21:30
VOLVER ARRIBA
TORRECÁRDENAS
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:10
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
20:3522:40
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
21:30
Babylon
M-16188
2D ESPAÑOL
21:20
M3GAN
M-12102
2D ESPAÑOL
20:2522:45
Reza por el diablo
M-1693
2D ESPAÑOL
22:45
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:3021:30
3D ESPAÑOL
20:45
As bestas
M-12137
2D CI ESPAÑOL
20:00
VOLVER ARRIBA"
5,"LOS PRADOS
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
20:3022:40
Estreno
Almas en pena de Inisherin
M-16114
2D CI VOSE
19:45
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:25
TÁR
M-7158
2D CI VOSE
22:05
Devotion. Una historia de héroes
M-12138
2D ESPAÑOL
22:15
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:30
2D CI VOSE
21:55
Lobo feroz
M-18106
2D ESPAÑOL
19:20
Decision to Leave
M-12138
2D CI ESPAÑOL
22:05
Babylon
M-16188
2D ESPAÑOL
21:00
Avatar: El sentido del agua
M-12194
2D ESPAÑOL
21:15
3D HFR ESPAÑOL
19:45
As bestas
M-12137
2D CI ESPAÑOL
21:50
Todo a la vez en todas partes
M-12150
2D CI ESPAÑOL
20:45
VOLVER ARRIBA
OCIMAX GIJON
Estreno
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
19:1522:00
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
19:5022:00
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:15
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
20:0022:20
Babylon
M-16188
2D ESPAÑOL
21:30
M3GAN
M-12102
2D ESPAÑOL
19:45
El gato con botas: El último deseo
M-7101
ESPAÑOL
20:00
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:3021:15
2D ESPAÑOL
20:15
As bestas
M-12137
2D CI ESPAÑOL
22:00
Todo a la vez en todas partes
M-12150
2D CI ESPAÑOL
21:45
VOLVER ARRIBA"
6,"PREMIUM EL FARO
Estreno
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
20:0022:30
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:40
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
20:1022:25
The Offering
M-1693
2D ESPAÑOL
22:05
Devotion. Una historia de héroes
M-12138
2D ESPAÑOL
22:20
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:25
Babylon
M-16188
2D ESPAÑOL
21:50
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:3021:15
As bestas
M-12137
2D CI ESPAÑOL
19:20
VOLVER ARRIBA"
7,"COMEDIA
Estreno
Almas en pena de Inisherin
M-16114
2D CI VOSE
19:30
La ballena (The Whale)
M-16117
2D CI VOSE
19:1522:10
Babylon
M-16188
2D VOSE
21:00
Avatar: El sentido del agua
M-12194
3D HFR VOSE
20:45
As bestas
M-12137
2D CI ESPAÑOL
21:50
Todo a la vez en todas partes
M-12150
2D CI VOSE
21:40
VOLVER ARRIBA
PREMIUM CASTELLDEFELS
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:35
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
19:3021:40
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:3022:00
Babylon
M-16188
2D ESPAÑOL
20:55
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:3021:00
As bestas
M-12137
2D CI ESPAÑOL
22:00
VOLVER ARRIBA
ICARIA
El triángulo de la tristeza (Preestreno)
PDC149
2D CI VOSE
19:30
Los hijos de otros
M-12104
2D VOSE
20:3022:45
Estreno
Almas en pena de Inisherin
M-16114
2D CI VOSE
19:4522:15
Estreno
Llaman a la puerta
M-16100
2D VOSE
20:0022:30
La ballena (The Whale)
M-16117
2D CI VOSE
19:4522:15
TÁR
M-7158
2D CI VOSE
21:30
Lobo feroz
M-18106
2D ESPAÑOL
22:45
Babylon
M-16188
2D VOSE
21:15
Decision to Leave
M-12138
2D CI VOSE
21:45
Living
M-7102
2D VOSE
22:30
Avatar: El sentido del agua
M-12194
2D VOSE
20:45
As bestas
M-12137
2D CI ESPAÑOL
19:45
Todo a la vez en todas partes
M-12150
2D CI VOSE
20:15
VOLVER ARRIBA
PREMIUM SANT CUGAT
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:30
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
20:1522:30
TÁR
M-7158
2D CI ESPAÑOL
20:30
Babylon
M-16188
2D ESPAÑOL
20:20
M3GAN
M-12102
2D ESPAÑOL
22:00
Avatar: El sentido del agua
M-12194
HFR ESPAÑOL
19:45
3D HFR ESPAÑOL
21:40
As bestas
M-12137
2D CI ESPAÑOL
20:45
VOLVER ARRIBA
ABRERA
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:40
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
20:1022:20
Babylon
M-16188
2D ESPAÑOL
21:05
Operación Fortune: El gran engaño
M-12114
2D ESPAÑOL
22:00
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
19:20
Avatar: El sentido del agua
M-12194
HFR ESPAÑOL
20:45
As bestas
M-12137
2D CI ESPAÑOL
21:25
VOLVER ARRIBA
BARICENTRO
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
20:1522:30
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:10
The Offering
M-1693
2D ESPAÑOL
22:10
Babylon
M-16188
2D ESPAÑOL
21:30
Operación Fortune: El gran engaño
M-12114
2D ESPAÑOL
22:15
M3GAN
M-12102
2D ESPAÑOL
20:00
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
19:45
Avatar: El sentido del agua
M-12194
2D ESPAÑOL
20:45
As bestas
M-12137
2D CI ESPAÑOL
22:00
VOLVER ARRIBA"
8,"AREA SUR
Estreno
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
19:3522:00
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:20
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
19:4021:45
Devotion. Una historia de héroes
M-12138
2D ESPAÑOL
22:20
Lobo feroz
M-18106
2D ESPAÑOL
22:35
The Offering
M-1693
2D ESPAÑOL
21:35
Babylon
M-16188
2D ESPAÑOL
21:00
M3GAN
M-12102
2D ESPAÑOL
20:0022:15
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
20:45
As bestas
M-12137
2D CI ESPAÑOL
19:50
VOLVER ARRIBA
PREMIUM PUERTA EUROPA
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
20:3022:45
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:15
The Offering
M-1693
2D ESPAÑOL
19:15
Lobo feroz
M-18106
2D ESPAÑOL
21:45
Babylon
M-16188
2D ESPAÑOL
21:15
M3GAN
M-12102
2D ESPAÑOL
20:1022:20
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:3520:45
As bestas
M-12137
2D CI ESPAÑOL
21:30
VOLVER ARRIBA
PREMIUM BAHÍA SUR
Estreno
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:20
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
20:0522:10
The Offering
M-1693
2D ESPAÑOL
20:45
Babylon
M-16188
2D ESPAÑOL
21:15
M3GAN
M-12102
2D ESPAÑOL
22:45
Operación Fortune: El gran engaño
M-12114
2D ESPAÑOL
22:30
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
20:4521:25
As bestas
M-12137
2D CI ESPAÑOL
21:35
VOLVER ARRIBA"
9,"PEÑACASTILLO
Estreno
Llaman a la puerta
M-16100
2D ESPAÑOL
19:5021:50
Devotion. Una historia de héroes
M-12138
2D ESPAÑOL
21:20
Babylon
M-16188
2D ESPAÑOL
20:25
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
19:15
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:4020:35
HFR ESPAÑOL
20:00
As bestas
M-12137
2D CI ESPAÑOL
21:25
VOLVER ARRIBA"
